Processor,Rating,AnTuTu 9,Geekbench 5 single,Geekbench 5 multi,Cores,Clock(MHz)
A10,40,303556,781,1414,4,2340
A11,51,385397,928,2351,6,2390
A12,69,531439,1124,2919,6,2490
A13,81,614582,1336,3515,6,2660
A14,93,731756,1606,4134,6,3100
A15,97,801356,1745,4729,6,3223
A9,31,205197,533,978,2,1850
Dimensity 1000,60,444357,679,2894,8,2600
Dimensity 1000 Pl,69,601446,797,2884,8,2600
Dimensity 1000L,57,432352,651,2525,8,2200
Dimensity 1100,74,671032,866,3289,8,2600
Dimensity 1200,77,678193,975,3357,8,3000
Dimensity 700,44,338590,564,1743,8,2200
Dimensity 720,44,346453,529,1722,8,2000
Dimensity 800,46,329173,514,1909,8,2000
Dimensity 800U,48,393114,615,1833,8,2400
Dimensity 810,48,376451,629,1908,8,2400
Dimensity 8100,88,786752,933,3836,8,2850
Dimensity 820,54,452024,526,2409,8,2600
Dimensity 900,53,424294,707,2149,8,2400
Dimensity 9000,96,1031460,1278,4294,8,3050
Dimensity 920,60,493404,797,2614,8,2500
Exynos 1080,78,709307,839,2938,8,2800
Exynos 1280,55,386738,732,1908,8,2400
Exynos 2100,83,750304,1082,3633,8,2900
Exynos 2200,90,970769,1154,3563,8,2800
Exynos 7420,22,96064,260,882,8,2100
Exynos 7872,23,144398,297,781,6,2000
Exynos 7884,23,104807,249,903,8,1560
Exynos 7885,24,161865,322,1047,8,2200
Exynos 7904,26,150612,274,1020,8,1800
Exynos 850,29,143573,162,948,8,2000
Exynos 880,45,321190,655,1821,8,2000
Exynos 8890,32,232583,372,1312,8,2300
Exynos 8895,39,289473,381,1578,8,2300
Exynos 9609,32,214888,333,1257,8,2200
Exynos 9610,30,205217,344,1150,8,2300
Exynos 9611,32,229962,327,1215,8,2300
Exynos 980,49,388547,697,1865,8,2200
Exynos 9810,51,416105,684,2014,8,2900
Exynos 9820,59,506346,843,2325,8,2700
Exynos 9825,60,510256,770,2404,8,2730
Exynos 990,71,601241,940,2742,8,2730
Google Tensor,85,725720,1051,2876,8,2800
Helio A25,23,115304,138,760,8,1800
Helio G25,23,93769,136,474,8,2000
Helio G35,25,108294,176,689,8,2300
Helio G70,31,208946,394,1308,8,2000
Helio G80,33,231417,352,1302,8,2000
Helio G85,32,231800,358,1276,8,2000
Helio G88,33,231623,366,1276,8,2000
Helio G90,43,342765,514,1641,8,2000
Helio G90T,42,332447,500,1628,8,2050
Helio G95,42,342626,518,1609,8,2050
Helio G96,42,334061,542,1890,8,2050
Helio P23,22,110275,153,858,8,2300
Helio P35,24,100496,171,977,8,2300
Helio P60,28,187498,274,1133,8,2000
Helio P65,30,197392,356,1294,8,2000
Helio P70,29,182112,301,1396,8,2100
Helio P90,35,255656,394,1496,8,2200
Helio P95,38,278988,411,1515,8,2200
Kirin 659,22,121428,195,886,8,2360
Kirin 710,30,196887,332,1284,8,2200
Kirin 710A,29,198128,318,1156,8,2000
Kirin 710,31,210308,327,1344,8,2200
Kirin 810,47,371083,604,1920,8,2270
Kirin 820,55,451161,641,2472,8,2360
Kirin 9000,85,762556,1054,3722,8,3130
Kirin 9000E,78,732675,1064,3770,8,3130
Kirin 950,24,136828,341,1282,8,2400
Kirin 955,23,141302,343,1094,8,2500
Kirin 960,33,254969,381,1600,8,2360
Kirin 970,39,324547,388,1370,8,2360
Kirin 980,56,487471,698,2498,8,2600
Kirin 985,56,468311,693,2577,8,2580
Kirin 990 (4G),62,498033,744,3084,8,2860
Kirin 990 (5G),65,559978,771,3102,8,2860
Snapdragon 439,23,102517,178,813,8,2000
Snapdragon 460,29,163625,257,1164,8,1800
Snapdragon 480,40,287814,513,1666,8,2000
Snapdragon 480 Pl,44,350354,538,1602,8,2200
Snapdragon 630,23,133844,176,982,8,2200
Snapdragon 632,26,148585,266,1049,8,1800
Snapdragon 636,26,173445,276,1130,8,1800
Snapdragon 660,30,209520,336,1325,8,2200
Snapdragon 662,32,209389,314,1406,8,2000
Snapdragon 665,31,198029,315,1357,8,2000
Snapdragon 670,33,218102,345,1327,8,2000
Snapdragon 675,34,261211,423,1389,8,2000
Snapdragon 678,36,283724,533,1546,8,2200
Snapdragon 680,39,279886,375,1571,8,2400
Snapdragon 690,44,348767,608,1853,8,2000
Snapdragon 695,50,403915,704,2018,8,2200
Snapdragon 710,36,262450,393,1452,8,2200
Snapdragon 712,38,281404,403,1506,8,2300
Snapdragon 720G,44,340872,573,1713,8,2300
Snapdragon 730,43,320968,542,1788,8,2200
Snapdragon 730G,43,334191,542,1735,8,2200
Snapdragon 732G,45,348908,570,1802,8,2300
Snapdragon 750G,47,388734,661,2004,8,2200
Snapdragon 765,48,339861,597,1925,8,2300
Snapdragon 765G,49,379740,589,1805,8,2400
Snapdragon 768G,54,447962,708,2005,8,2800
Snapdragon 778G,62,533316,775,2818,8,2400
Snapdragon 778G Pl,64,553356,824,2992,8,2500
Snapdragon 780G,64,534005,809,2929,8,2400
Snapdragon 8,94,1040630,1222,3809,8,3000
Snapdragon 820,34,265732,322,807,4,2200
Snapdragon 821,29,200170,342,754,4,2342
Snapdragon 835,42,315794,388,1717,8,2450
Snapdragon 845,53,409531,513,2208,8,2800
Snapdragon 855,63,515977,747,2630,8,2840
Snapdragon 855 Pl,66,548185,785,2809,8,2960
Snapdragon 860,67,569176,735,2586,8,2960
Snapdragon 865,74,654578,939,3464,8,2840
Snapdragon 865 Pl,78,714211,925,3328,8,3100
Snapdragon 870,78,697309,1009,3391,8,3200
Snapdragon 888,90,802285,1130,3705,8,2840
Snapdragon 888 Pl,91,850477,1175,3656,8,2995
Tiger T610,28,195706,354,1336,8,1820
Tiger T616,32,226019,381,1398,8,2000
Tiger T618,34,252266,397,1347,8,2000
Tiger T700,31,222587,354,1298,8,1800
Unisoc T606,28,180405,315,1178,8,1600
